event_type,event_id,episode_id
FL,1100694,1
FL,1100694,2
FL,1100694,3
FL,1100694,4
FL,1100694,5
FL,1100695,1
FL,1100696,1
FL,1100697,1
FL,1100698,1
FL,1100699,1
FL,1100700,1
FL,1100701,1
FL,1100702,1
FL,1100703,1
FL,1100704,1
FL,1100704,2
FL,1100705,1
FL,1100705,2
FL,1100706,1
FL,1100707,1
FL,1100708,1
FL,1100709,1
FL,1100710,1
FL,1100711,1
FL,1100712,1
FL,1100713,1
FL,1100714,1
FL,1100715,1
FL,1100716,1
FL,1100717,1
FL,1100717,2
FL,1100717,3
FL,1100717,4
FL,1100717,5
FL,1100717,6
FL,1100717,7
FL,1100717,8
FL,1100717,9
FL,1100717,10
FL,1100717,11
FL,1100717,12
FL,1100717,13
FL,1100717,14
FL,1100717,15
FL,1100718,1
FL,1100719,1
FL,1100720,1
FL,1100721,1
FL,1100721,2
FL,1100722,1
FL,1100723,1
FL,1100723,2
FL,1100724,1
FL,1100725,1
FL,1100725,2
FL,1100726,1
FL,1100726,2
FL,1100727,1
FL,1100727,2
FL,1100728,1
FL,1100729,1
FL,1100730,1
FL,1100730,2
FL,1100730,3
FL,1100731,1
FL,1100731,2
FL,1100731,3
FL,1100732,1
FL,1100733,1
FL,1100734,1
FL,1100735,1
FL,1100736,1
FL,1100737,1
FL,1100737,2
FL,1100738,1
FL,1100739,1
FL,1100741,1
FL,1100741,2
FL,1100742,1
FL,1100742,2
FL,1100743,1
FL,1100744,1
FL,1100745,1
FL,1100745,2
FL,1100745,3
FL,1100746,1
FL,1100746,2
FL,1100746,3
FL,1100747,1
FL,1100748,1
FL,1100749,1
FL,1100749,2
FL,1100750,1
FL,1100750,2
FL,1100751,1
FL,1100751,2
FL,1100751,3
FL,1100751,4
FL,1100752,1
FL,1100753,1
FL,1100754,1
FL,1100755,1
FL,1100755,2
FL,1100756,1
FL,1100756,2
FL,1100756,3
FL,1100756,4
FL,1100756,5
FL,1100757,1
FL,1100758,1
FL,1100759,1
FL,1100760,1
FL,1100761,1
FL,1100762,1
FL,1100763,1
FL,1100763,2
FL,1100763,3
FL,1100764,1
FL,1100765,1
FL,1100766,1
FL,1100766,2
FL,1100766,3
FL,1100766,4
FL,1100766,5
FL,1100766,6
FL,1100766,7
FL,1100766,8
FL,1100766,9
FL,1100766,10
FL,1100766,11
FL,1100766,12
FL,1100766,13
FL,1100766,14
FL,1100766,15
FL,1100766,16
FL,1100766,17
FL,1100766,18
FL,1100766,19
FL,1100766,20
FL,1100766,21
FL,1100767,1
FL,1100768,1
FL,1100768,2
FL,1100769,1
FL,1100770,1
FL,1100771,1
FL,1100771,2
FL,1100771,3
FL,1100772,1
FL,1100773,1
FL,1100774,1
FL,1100775,1
FL,1100776,1
FL,1100776,2
FL,1100776,3
FL,1100776,4
FL,1100777,1
FL,1100777,2
FL,1100778,1
FL,1100779,1
FL,1100780,1
FL,1100781,1
FL,1100782,1
FL,1100783,1
FL,1100784,1
FL,1100784,2
FL,1100784,3
FL,1100784,4
FL,1100784,5
FL,1100785,1
FL,1100786,1
FL,1100787,1
FL,1100788,1
FL,1100788,2
FL,1100789,1
FL,1100789,2
FL,1100789,3
FL,1100790,1
FL,1100792,1
FL,1100792,2
FL,1100793,1
FL,1100794,1
FL,1100794,2
FL,1100794,3
FL,1100795,1
FL,1100796,1
FL,1100797,1
FL,1100799,1
FL,1100800,1
FL,1100803,1
FL,1100804,1
FL,1100805,1
FL,1100805,2
FL,1100805,3
FL,1100805,4
FL,1100805,5
FL,1100806,1
FL,1100809,1
FL,1100810,1
FL,1100811,1
FL,1100812,1
FL,1100813,1
FL,1100813,2
FL,1100813,3
